,Label,Strata,ROCAUC,CI_ROC,PRAUC,CI_PR
49,Pleural Other,black,0.8242630385487528,"[0.713, 0.914]",0.08332216558039492,"[0.041, 0.191]"
50,Pleural Other,hispanic/latino,0.9247311827956989,"[0.832, 0.99]",0.3431818181818182,"[0.091, 0.848]"
51,Pneumonia,white,0.6075330394360245,"[0.569, 0.65]",0.16371430206117077,"[0.135, 0.205]"
52,Pneumonia,other,0.5393913778529164,"[0.44, 0.644]",0.11813239998461465,"[0.076, 0.206]"
53,Pneumonia,black,0.6777847514868944,"[0.607, 0.751]",0.17200186895145253,"[0.12, 0.27]"
54,Pneumonia,hispanic/latino,0.7735632183908046,"[0.627, 0.9]",0.3292307457005704,"[0.112, 0.608]"
55,Pneumonia,asian,0.6718047527296083,"[0.565, 0.767]",0.13972609061090302,"[0.084, 0.232]"
56,Pneumothorax,white,0.7073744750085134,"[0.647, 0.763]",0.06236815485521856,"[0.044, 0.098]"
57,Pneumothorax,other,0.6187793427230047,"[0.508, 0.736]",0.11771332621547792,"[0.047, 0.287]"
58,Pneumothorax,black,0.8626182965299685,"[0.733, 0.964]",0.2789337955420649,"[0.046, 0.576]"
59,Pneumothorax,hispanic/latino,0.4736842105263158,"[0.347, 0.589]",0.028495440729483283,"[0.016, 0.082]"
60,Pneumothorax,asian,0.6905790838375109,"[0.491, 0.869]",0.26384285747750696,"[0.108, 0.567]"
61,Support Devices,white,0.8564419100647975,"[0.838, 0.873]",0.7630849724034384,"[0.731, 0.796]"
62,Support Devices,other,0.8451408855664175,"[0.804, 0.886]",0.8236970186300548,"[0.762, 0.886]"
63,Support Devices,black,0.808313862928349,"[0.771, 0.843]",0.6919489505728904,"[0.629, 0.756]"
64,Support Devices,hispanic/latino,0.9555555555555556,"[0.887, 1.0]",0.7722789115646258,"[0.47, 1.0]"
65,Support Devices,asian,0.7688089493309936,"[0.705, 0.833]",0.7539298972400459,"[0.656, 0.844]"
